surface_area,volume
152,216
296,512
488,1000
728,1728
1016,2744
1352,4096
1736,5832
2168,8000
2648,10648
3176,13824
3752,17576
4376,21952
5048,27000
5768,32768
6536,39304
7352,46656
8216,54872
9128,64000
10088,74088
11096,85184
12152,97336
13256,110592
14408,125000
15608,140608
16856,157464
18152,175616
19496,195112
20888,216000
22328,238328
23816,262144
25352,287496
26936,314432
28568,343000
30248,373248
31976,405224
33752,438976
35576,474552
37448,512000
39368,551368
41336,592704
43352,636056
45416,681472
47528,729000
49688,778688
51896,830584
54152,884736
56456,941192
58808,1000000
61208,1061208
63656,1124864
66152,1191016
68696,1259712
71288,1331000
390152,16777216